iter	Passed	Remaining
218	10545	13531
219	10599	13490
220	10651	13447
221	10711	13413
222	10895	13533
223	11011	13567
224	11057	13515
225	11131	13495
226	11227	13502
227	11333	13520
228	11389	13478
229	11446	13437
230	11493	13384
231	11546	13338
232	11615	13310
233	11674	13270
234	11719	13215
235	11759	13154
236	11803	13098
237	11848	13042
238	11890	12984
239	11929	12923
240	11968	12862
241	12008	12802
242	12048	12742
243	12092	12687
244	12134	12630
245	12173	12568
246	12217	12514
247	12264	12461
248	12311	12410
249	12354	12354
250	12398	12299
251	12441	12244
252	12481	12185
253	12526	12132
254	12566	12073
255	12605	12014
256	12661	11971
257	12756	11965
258	12795	11906
259	12834	11847
260	12871	11786
261	12910	11727
262	12953	11672
263	13002	11623
264	13052	11574
265	13098	11522
266	13165	11488
267	13206	11432
268	13250	11379
269	13291	11322
270	13336	11269
271	13377	11213
272	13421	11160
273	13468	11108
274	13512	11055
275	13552	10998
276	13594	10944
277	13635	10888
278	13672	10830
279	13715	10776
280	13757	10721
281	13799	10667
282	13839	10611
283	13885	10560
284	13941	10517
285	13991	10469
286	14039	10419
287	14090	10372
288	14153	10333
289	14200	10283
290	14240	10227
291	14282	10173
292	14324	10120
293	14367	10067
294	14409	10013
295	14453	9960
296	14492	9905
297	14529	9848
298	14569	9794
299	14608	9738
300	14648	9684
301	14690	9631
302	14727	9575
303	14765	9519
304	14806	9466
305	14847	9413
306	14886	9358
307	14923	9303
308	14970	9253
309	15007	9198
310	15047	9144
311	15088	9091
312	15128	9038
313	15168	8985
314	15207	8931
315	15246	8877
316	15285	8824
317	15333	8775
318	15376	8724
319	15415	8671
320	15457	8619
321	15498	8567
322	15543	8517
323	15590	8469
324	15639	8421
325	15695	8377
326	15739	8327
327	15789	8279
328	15837	8231
329	15886	8183
330	15935	8136
331	15975	8084
332	16018	8033
333	16067	7985
334	16117	7938
335	16167	7891
336	16220	7845
337	16271	7798
338	16324	7752
339	16375	7705
340	16421	7656
341	16468	7608
342	16513	7558
343	16553	7506
344	16592	7454
345	16643	7407
346	16703	7364
347	16757	7319
348	16808	7272
349	16855	7223
350	16904	7175
351	16955	7128
352	17002	7080
353	17055	7034
354	17147	7004
355	17197	6956
356	17263	6914
357	17317	6868
358	17372	6823
359	17422	6775
360	17470	6726
361	17523	6680
362	17573	6632
363	17619	6582
364	17668	6534
365	17718	6487
366	17759	6436
367	17804	6386
368	17841	6334
369	17877	6281
370	17919	6230
371	17980	6186
372	18025	6137
373	18067	6086
374	18117	6039
375	18176	5994
376	18249	5953
377	18315	5911
378	18377	5867
379	18440	5823
380	18489	5775
381	18540	5727
382	18591	5679
383	18637	5630
384	18690	5582
385	18741	5535
386	18792	5487
387	18855	5442
388	18911	5396
389	18967	5349
390	19017	5301
391	19065	5252
392	19121	5206
393	19179	5159
394	19233	5112
395	19286	5065
396	19338	5017
397	19401	4972
398	19460	4926
399	19519	4879
400	19571	4831
